h3_08,municipio,operator,variable,median
8849958063fffff,Milpa Alta,Movistar,m_download_mbps,4.1035
8849958063fffff,Milpa Alta,Telcel,m_download_mbps,14.069
8849958065fffff,Milpa Alta,ALTAN Redes,m_download_mbps,8.821
8849958065fffff,Milpa Alta,Telcel,m_download_mbps,86.492
8849958067fffff,Milpa Alta,ALTAN Redes,m_download_mbps,1.7349999999999999
8849958067fffff,Milpa Alta,Telcel,m_download_mbps,28.697
8849958069fffff,Milpa Alta,ALTAN Redes,m_download_mbps,11.275
884995806bfffff,Milpa Alta,ALTAN Redes,m_download_mbps,2.522
884995806dfffff,Milpa Alta,ALTAN Redes,m_download_mbps,22.716
884995806dfffff,Milpa Alta,AT&T,m_download_mbps,76.32
884995806dfffff,Milpa Alta,Movistar,m_download_mbps,6.333
884995806dfffff,Milpa Alta,Telcel,m_download_mbps,28.184
8849958081fffff,Xochimilco,ALTAN Redes,m_download_mbps,2.0755
8849958081fffff,Xochimilco,AT&T,m_download_mbps,2.778
8849958081fffff,Xochimilco,Movistar,m_download_mbps,1.367
8849958081fffff,Xochimilco,Telcel,m_download_mbps,44.5655
8849958083fffff,Xochimilco,ALTAN Redes,m_download_mbps,34.748999999999995
8849958083fffff,Xochimilco,AT&T,m_download_mbps,62.699
8849958083fffff,Xochimilco,Movistar,m_download_mbps,43.5105
8849958083fffff,Xochimilco,Telcel,m_download_mbps,41.727
8849958085fffff,Xochimilco,ALTAN Redes,m_download_mbps,17.198
8849958085fffff,Xochimilco,AT&T,m_download_mbps,39.985
8849958085fffff,Xochimilco,Movistar,m_download_mbps,25.022
8849958085fffff,Xochimilco,Telcel,m_download_mbps,71.805
8849958087fffff,Xochimilco,ALTAN Redes,m_download_mbps,31.026
8849958087fffff,Xochimilco,AT&T,m_download_mbps,46.607
8849958087fffff,Xochimilco,Movistar,m_download_mbps,15.948
8849958087fffff,Xochimilco,Telcel,m_download_mbps,35.952
8849958089fffff,Xochimilco,ALTAN Redes,m_download_mbps,6.246
8849958089fffff,Xochimilco,AT&T,m_download_mbps,2.645
8849958089fffff,Xochimilco,Telcel,m_download_mbps,68.263
884995808bfffff,Xochimilco,ALTAN Redes,m_download_mbps,8.4545
884995808bfffff,Xochimilco,AT&T,m_download_mbps,1.988
884995808bfffff,Xochimilco,Movistar,m_download_mbps,7.086
884995808bfffff,Xochimilco,Telcel,m_download_mbps,31.5775
884995808dfffff,Xochimilco,ALTAN Redes,m_download_mbps,15.062
884995808dfffff,Xochimilco,Telcel,m_download_mbps,62.1185
8849958091fffff,Xochimilco,ALTAN Redes,m_download_mbps,17.299999999999997
8849958091fffff,Xochimilco,AT&T,m_download_mbps,23.588
8849958091fffff,Xochimilco,Movistar,m_download_mbps,10.459
8849958091fffff,Xochimilco,Telcel,m_download_mbps,24.024
8849958095fffff,Xochimilco,ALTAN Redes,m_download_mbps,13.7295
8849958095fffff,Xochimilco,AT&T,m_download_mbps,7.425
8849958095fffff,Xochimilco,Telcel,m_download_mbps,173.4435
8849958099fffff,Xochimilco,ALTAN Redes,m_download_mbps,39.80500000000001
8849958099fffff,Xochimilco,AT&T,m_download_mbps,24.099
8849958099fffff,Xochimilco,Movistar,m_download_mbps,23.72
8849958099fffff,Xochimilco,Telcel,m_download_mbps,73.47749999999999
884995809bfffff,Xochimilco,ALTAN Redes,m_download_mbps,4.631
884995809bfffff,Xochimilco,AT&T,m_download_mbps,9.002
884995809bfffff,Xochimilco,Movistar,m_download_mbps,14.893
884995809bfffff,Xochimilco,Telcel,m_download_mbps,3.6064999999999996
884995809dfffff,Xochimilco,ALTAN Redes,m_download_mbps,23.509
884995809dfffff,Xochimilco,AT&T,m_download_mbps,6.1905
884995809dfffff,Xochimilco,Telcel,m_download_mbps,35.1005
88499580a1fffff,Xochimilco,ALTAN Redes,m_download_mbps,3.035
88499580a1fffff,Xochimilco,Movistar,m_download_mbps,4.18
88499580a1fffff,Xochimilco,Telcel,m_download_mbps,5.147
88499580a3fffff,Xochimilco,AT&T,m_download_mbps,3.418
88499580a5fffff,Xochimilco,ALTAN Redes,m_download_mbps,4.334
88499580a5fffff,Xochimilco,AT&T,m_download_mbps,5.522
88499580a5fffff,Xochimilco,Movistar,m_download_mbps,17.49
88499580a5fffff,Xochimilco,Telcel,m_download_mbps,22.1075
88499580a7fffff,Xochimilco,ALTAN Redes,m_download_mbps,0.795
88499580a7fffff,Xochimilco,AT&T,m_download_mbps,0.835
88499580a7fffff,Xochimilco,Movistar,m_download_mbps,0.367
88499580a7fffff,Xochimilco,Telcel,m_download_mbps,18.98
88499580a9fffff,Xochimilco,ALTAN Redes,m_download_mbps,1.728
88499580a9fffff,Xochimilco,AT&T,m_download_mbps,0.4465
88499580a9fffff,Xochimilco,Telcel,m_download_mbps,31.596
88499580abfffff,Xochimilco,ALTAN Redes,m_download_mbps,2.6635
88499580abfffff,Xochimilco,AT&T,m_download_mbps,33.131
88499580abfffff,Xochimilco,Movistar,m_download_mbps,5.0954999999999995
88499580abfffff,Xochimilco,Telcel,m_download_mbps,53.21
88499580adfffff,Xochimilco,ALTAN Redes,m_download_mbps,1.686
88499580adfffff,Xochimilco,AT&T,m_download_mbps,12.136
88499580adfffff,Xochimilco,Telcel,m_download_mbps,6.2925
88499580b1fffff,Xochimilco,ALTAN Redes,m_download_mbps,12.08
88499580b7fffff,Tláhuac,ALTAN Redes,m_download_mbps,6.198499999999999
88499580b7fffff,Tláhuac,AT&T,m_download_mbps,0.924
88499580b7fffff,Tláhuac,Movistar,m_download_mbps,0.444
88499580b7fffff,Tláhuac,Telcel,m_download_mbps,30.762
88499580b7fffff,Xochimilco,ALTAN Redes,m_download_mbps,16.477
88499580b7fffff,Xochimilco,AT&T,m_download_mbps,0.106
88499580b7fffff,Xochimilco,Telcel,m_download_mbps,15.259
88499580b9fffff,Xochimilco,ALTAN Redes,m_download_mbps,35.1845
88499580b9fffff,Xochimilco,AT&T,m_download_mbps,37.604
88499580b9fffff,Xochimilco,Movistar,m_download_mbps,40.532
88499580b9fffff,Xochimilco,Telcel,m_download_mbps,10.328
88499580c3fffff,Xochimilco,Telcel,m_download_mbps,29.227
88499580c5fffff,Xochimilco,ALTAN Redes,m_download_mbps,9.228
88499580c9fffff,Milpa Alta,ALTAN Redes,m_download_mbps,14.979
88499580cdfffff,Milpa Alta,ALTAN Redes,m_download_mbps,12.073
88499580d1fffff,Xochimilco,ALTAN Redes,m_download_mbps,10.824
